"Restaurant","Date","Menu","Cuisine","Company"
"Shanghai Kitchen",8/12/2008,"Dinner",,"Girls"
"Kittichai",8/15/2008,"Dinner",,"Diane"
"Balthazar",8/21/2008,"Lunch",,"Sandy, Nick and crew"
"Antique Garage",8/25/2008,"Drinks",,"Michael"
"Cercle Rouge",8/26/2008,"Lunch",,"Mijin"
"Cercle Rouge",8/28/2008,"Dinner",,"Sunyoung"
"Ditch Plains",9/14/2008,"Dinner",,"Michael"
"Shake Shack",9/19/2008,"Dinner","American","Michael"
"Pegu Club",9/22/2008,"Drinks (Roscoe's bday)",,"Wire boys"
"Basta Pasta",9/29/2008,"Dinner",,"Michael"
"Boom Café",10/4/2008,"Dinner",,"Michael"
"Clinton St. Baking Company",10/6/2008,"Dinner",,"Michael"
"Clinton St. Baking Company",10/8/2008,"Brunch",,"Michael, Doron, Amir"
"Lombardi's",10/8/2008,"Dinner","Italian","Michael"
"epistrophe",10/13/2008,"Dinner",,
"Lucky Strike",10/18/2008,"Dinner",,"Michael"
"Spitzer's",10/19/2008,"Dinner",,"Michael"
"Corner Shop Café",10/20/2008,"Dinner",,"Michael"
"7A Café",10/25/2008,"Brunch",,"Michael"
"Café",10/26/2008,"Brunch",,"Michael"
"Hideaway",10/27/2008,"Dinner",,"Michael"
"Spotted Pig",11/1/2008,"Brunch",,"Michael"
"Ulysses",11/1/2008,"Drinks",,"Michael"
"Pateo 27",11/2/2008,"Brunch",,"Michael"
"Kori",11/6/2008,"Lunch",,"Sandy, Cathy"
"Café Mogador",11/9/2008,"Brunch",,"Michael, Joonwoo"
"Zipper's Factory",11/11/2008,"Event (Maddy's show)",,"Michael"
"Negril Village",11/12/2008,"Event",,"Tower comedy night"
"Jules Bistro",11/15/2008,"Brunch",,"Michael"
"Mara's Homemade",11/15/2008,"Snack",,"Michael"
"Outpost",11/16/2008,"Coffee",,"Michael"
"Paladar",11/22/2008,"Dinner",,"Girls"
"Elephant & Castle",11/23/2008,"Brunch",,"Michael, Nan, Jess"
"Elephant & Castle",3/1/2009,"Brunch",,"Michael"
"Bond St.",11/23/2008,"Dinner","Japanese","Michael"
"Pink Pony",11/28/2008,"Dinner",,"Michael, Ginny"
"Walter's",12/12/2008,"Lunch",,"Mijin"
"Kaleidoscope",12/21/2008,"Dinner","Asian Fusion","Sanghee"
"Bread Tribeca",2008,"Lunch",,"Sanghee"
"Café Gitane",2008,"Dinner","African/Moroccan, French","Michael"
"Café Colonial",2008,"Brunch","Brazilian","Michael"
"Alias Restaurant",2008,"Dinner","American Nouveau","Michael, Doron, Amir"
"Thor",2008,"Brunch","American Nouveau","Michael"
"Cucina de Pesce??",2008,"Dinner","Italian",
"Paprika",1/2/2009,"Dinner",,"Michael"
"Rocking Horse",1/15/2009,"Dinner","Cuban","Michael"
"Petrarca",1/23/2008,"Lunch","Italian","Mijin"
"Cubana Café",1/26/2008,"Dinner","Cuban","Michael"
"Villa de Pesce??",1/24/2008,"Dinner (diane's bday)","Italian","Girls"
"Café Lalo",1/26/2008,"Dessert",,"Michael"
"Aqauvit Café",1/28/2008,"Dinner","Scandinavian","Michael"
"Le Pain Quotidien",2/7/2009,"Dinner",,"Michael"
"La Esquina",2/11/2009,"Dinner","Mexican","Michael"
"Giorgione",2/14/2009,"Dinner","Italian","Michael"
"Commerce",2/15/2009,"Brunch",,"Michael"
"Apiary",2/15/2009,"Dinner",,"Sanghee"
"A.O.C. Bedford",2/16/2009,"Brunch",,"Michael"
"Stanton Social",2/16/2009,"Dinner",,"Michael, Nina, Jason"
"Essex",2/22/2009,"Brunch",,"Michael"
"San Marzano",2/28/2009,"Dinner",,"Michael, Kevin"
"ODEON",3/7/2009,"Brunch",,"Michael"
"Bar 89",3/7/2009,"Dinner",,"Michael"
"Adrienne's PizzaBar",3/18/2009,"Dinner",,"Michael"
"Arqua",3/20/2009,"Lunch",,"Cathy"
"Swich",2/7/2010,"Dinner","Sandwiches","Michael"
"Ichiro",2/5/2010,"Dinner","Japanese","Michael"
"Good Burger",2/2/2010,"Dinner",,"Michael"
"Tina's",2/2/2010,"Lunch","Cuban","Michael"
"Calle Ocho",12/30/2009,"Dinner","Latin","Michael"
"Stand4",12/09/2009,"Lunch","American","Michael, Gilt"
"Brgr",12/02/2009,"Dinner","American","Michael"
"Chop't",11/10/2009,"Lunch","Salad","Michael, Gilt"
"Shake Shack",11/09/2009,"Lunch","American","Michael, Gilt"
"Harry's",10/30/2009,"Dinner","Italian","Michael"
"Almond",11/02/2009,"Lunch","American","Michael, Gilt"
"Waldy's",10/30/2009,"Lunch","Pizza","Michael, Gilt"
"Zaitzeff",10/10/2009,"Dinner","Burgers","Michael"
"Grey Dog's",10/08/2009,"Dinner","American","Michael"
"Pearl Street Diner",10/03/2009,"Brunch","American","Michael"
"James",9/30/2009,"Brunch","American","Michael"
"Onda",9/23/2009,"Brunch","Latin","Michael"
"Soho Park",9/01/2009,"Dinner","American","Michael"
"Saluggi's",8/28/2009,"Lunch","Italian","Michael, LimeWire"
"Barolo",8/20/2009,"Dinner","Italian","Michael"
"Zigolini's",7/11/2009,"Lunch","American","Michael"
"Cornelia Street Cafe",7/03/2009,"Dinner","American","Michael, Doron, Amir, Garrett"
"Papatzul",6/24/2009,"Lunch","Mexican","Michael, LimeWire"
"L'Orange Bleu",6/14/2009,"Dinner","French","Michael"
"La Esquina",6/07/2009,"Dinner","Mexican","Michael"
"Gramercy Tavern",5/10/2009,"Dinner","American","Michael"
"Blue Ribbon Bakery",4/25/2009,"Brunch","American","Michael"
"Klong",4/19/2009,"Dinner","American","Michael"
"Barrio",4/19/2009,"Brunch","Mexican","Michael"
"Green Table",4/05/2009,"Brunch","Vegetarian","Michael"
"Kyo Ya",3/28/2009,"Dinner","Japanese","Michael"
"Le Toukouleur",3/21/2009,"Dinner","French African","Michael"
